accountId,summonerName,tier,rank
9yJX2hSWSPM5jIr7LHImNbt5ahQCKnEieLlUdZ9v4pGx,bgh5620,DIAMOND,IV
KbUrLjl_pZqrtv9uxgMB4UqrZwuOwASFnNj43VYx9HiD,왕학체,DIAMOND,IV
xKQfj56_1z-tEqb8B1mTNasuZyukHs8GHRIEBrT1ecFK,최강희조,DIAMOND,IV
3IOsra4KAzevfVLXlgj4SUOnKBmjbSuOHJzulTA3-5rg,화이팅 우리팀,DIAMOND,IV
yn4UY42zfgmbJkMo2fCZH4rMPvBhZbhV0ilZfdz7dAG9,빠성이얏,DIAMOND,IV
l56ECOJ5HBuDCbNaHdqRmuPAoOlxpB8FQd7JmfkuSTTh,도시과,DIAMOND,IV
Nsms8cYEi_ILsx9mBA474mhnR80nfoPD4T7N5CemnSgM,로택기,DIAMOND,IV
1ls_F5lDftbUWwn4n8adg8hatj61la-1voolqN-SkVd0,진 박,DIAMOND,IV
5gFZGXF26e-lcnH1WdEnIKJB_p9yxIV8mVLeXqEbulSh,Hustlin,DIAMOND,IV
I2V31ysBoz56T1CbVKz0K2_ITUP6YoA07XSqgI5KY78P,전뚜밍,DIAMOND,IV
fK-GDaluDIBEFsM1ypPy2KUE3C3xaYuoV5NoRs_87xxt,피들 그 자체,DIAMOND,IV
KB4bgd6lW38KjiG8gKzPYj8Br1mz4DgSSN5pzzAWDocW,멍멍 o3o,DIAMOND,IV
Z1iJG7xueiQOko99CXNvEQ8FI7YNX0LwLDxQ2iZHe4cN,벌레박멸성인현자,DIAMOND,IV
CDrcNqkU59bqJh6F1cxcuIKLkWGgHliQ2rwhwdFeNmvx,제케르,DIAMOND,IV
WzoXtq6YsyHstIyLkHKvLfDRp79e54UdKLfuPSRhwm7M,초코렛맛제티,DIAMOND,IV
tade_p4GLLNTEl1gC4gBsMWexomxhtwxY2-Td76lgjWJ,Lypto,DIAMOND,IV
7_OZXpS1G4Tlc0u0TsNuJ6ZuSKTW5fXzyj5A8SFEsCB0,예티늪에빠진사람,DIAMOND,IV
shypvFoCUTSa6En4GkzxKj6aOK24wVA5vhciRkLYb3qr,눈떠보니바텀,DIAMOND,IV
22t2vHX_kLuelLdN6nzu5znB8Vx45zmxJRs8HwTBjqwU,스시주세요,DIAMOND,IV
m1XPNOzasSvyvmpdT8BkRKL2ZvUQ2b0echtn_0FnDPL7,행복쥐,DIAMOND,IV
plsvusPy3MIuzt10VzesU-l_677CFriXnHze0Xyn8WkF,서폿조무사고라카,DIAMOND,IV
JTg8cxg53OTpGTUp4gdZod4qO8ytiNNuzBTnlbErYuUU,아기가 생겨버려,DIAMOND,IV
G6NVvM1zlJWk5Z0saRxCpx1osQjcYXLYd63AIqFCf9B3,경 가 니,DIAMOND,IV
S9llxkJD3uYx94dngOOEaTAhioJ2Fa79hDNK9ZnFdhbE,며 묘,DIAMOND,IV
RwsDO8kvG5wiQldAXpY2KtIp_ef_9lTxwLnJjx1RQ3ko,전 병,DIAMOND,IV
0IFoLby1wTkTh_gD45twpYt4wYmNrGCCGSG09JgJx_aL,노민영,DIAMOND,IV
T-McdvR5kfOuWKLX6uqIfweFAB6cS-jpHMetJH0qNh22,리드오브래던드,DIAMOND,IV
c-pNkW5ds8AI8VXUUoOOeCfufT2vaYW-XSW-6aeTG5vh,이름 정동건,DIAMOND,IV
3WLhtfytuZVXT1s5al5-VNyhKNyXuDoU-LskcvW9yaLy,창천의 미리내,DIAMOND,IV
Hq8lXS3AqqwNLfhxiTR4nqKigOy4rFxnMDOpK7lXpX8O,이유가없어,DIAMOND,IV
jyYXdBFVYWToiQYBoMaE3NgRHLtReU-d2R7BRUNgCzye,필리포님께서,DIAMOND,IV
Le89Gk5iHEHCjkkCL955WPtVOVhYOpo5vpGbpuNilzSv,라면쏟은사람,DIAMOND,IV
Y0UwfjWpxBNRk1Av1absKSOqKHOGwnwcxt9bMoUih_9l,보영이만보영,DIAMOND,IV
M7ZtORMr5y-w3T8-hA8EWuFTy7EgktbDJqfOr8BYurzB,무민우유,DIAMOND,IV
fn-XTNKmSJ1nVY6Foeub7vUw2_TSjAz5eE_ENucxlhKC,트린다우스,DIAMOND,IV
apkYPFbYzyfQZh2f96J72c7W-3vJdvmaKrn7mAwMvRef,이건 7I회야,DIAMOND,IV
FSOhuRLPrLkzNyF3UITkIGy06rE76LklB31mMctuJX75,강감찬 귀주대첩,DIAMOND,IV
SWxEDJxRCyjTrD4MujMEL-AEx9je3oEGsHk0MJWBVDHz,맹쿠형,DIAMOND,IV
jZrNKUctV25guCz0tqna6c5Uk0mid7UOr8xKvANnT0xa,여눈잘사는사람,DIAMOND,IV
2glPfuT98U47rZ_jhIHa_09uGht9qnjnsSD5p5lmm8oX,이가붕,DIAMOND,IV
IOaoYMQzjtoAHGcT9yuseiylpXmWolQKgvkftlaoQOTi,불꽃남자 박영웅,DIAMOND,IV
vUHAJBcDiQH0n2ul0FpGTJ1AXZQNgXj4E30ooP_4ekr-,안녕하새우구독,DIAMOND,IV
fX5cVIyL-KP_g1HcJBJQpz5u2axBGFmqdsH4MNpYZnaK,바론노와드,DIAMOND,IV
R-OfLKx3-jk0vUCQMOdCDg2m646a1eo5y4adv5ErZlNR,동댕구리4O3O,DIAMOND,IV
-O_4T1wihpbggu0mE3nE9bjuIiolqcok18r4_PAApDMt,YouTube윽끈,DIAMOND,IV
_l2KEVmrD4c5eT-urwnQQy5t0oE8FSeXNo_lOrfopR6I,채희엽,DIAMOND,IV
AvQyeU1IGO06ih381Sien-7AvdNL9FbREl4l0-_x7gc7,머머머뭐,DIAMOND,IV
AhzSfrzJxxp99AcSR-8uEXQH910VNUkhUaP0-0bMM3d-,내가 하면 짠,DIAMOND,IV
qu1nchTR5oIQnn0JuSTCcifBmfbdvJNs7fB2pHzc1Dl_,개쓰레기 피지컬,DIAMOND,IV
9TvbKllLOQos1mZNXfz3jGGWNZvdGweNDJGagMbtnmFq,탑라이너김나겸,DIAMOND,IV
_QvBDC2aKcxKa8X-QXEkBQ9ogNnOWKF99w32OXxwP_3b,미안내가털엇다,DIAMOND,IV
olxgxNt4Tpp6fUMZkvWmvrdEtekP98CML6Lur6UOrFpg,1판1흡연국룰,DIAMOND,IV
AJd37zD9Vtip2Sfvlh_2y1o3I6SV3ubYrjWRM734jWm0,이땅용,DIAMOND,IV
buTa1Ni7damjWqPxE085uDUtZUmNlNC9_QUlLu8G4f_j,임 종,DIAMOND,IV
uo1Ms6QnMWRv8FyzuafyjbfKG6AOg7JHd3WoLx8X_zgq,캬아아악 투,DIAMOND,IV
caj5tzPjzeIduSHgyO5Uci3IqxYiqVwBG7Nv0l0fHUiv,롤 퍽,DIAMOND,IV
1PoeC0JwYO3FU_r2ByhxQFUXedwKSwGuLwXIdfTzxoOd,두  등장  두,DIAMOND,IV
E-UraL869hGa83oh15g4r4XIm_qOqzHXzpwb99ps19wY,딜가면 탱부족,DIAMOND,IV
0YKgsGD2IVon2Pi_1c5rBrcTYhffQAWEYAKVn7BlOaAs,말캉말캉 슬라임,DIAMOND,IV
ydsv7BKIGLHtChP-iwouMUrqHcHSFQxaeT2CHMPIROIS,초코칩    초코칩,DIAMOND,IV
apRvrGd3wQmpFN81XC2jvZ8dJtVIkPHjNxiaeppslvyy,1776066802,DIAMOND,IV
95pPckrUl-j1Ao5vZryKI3_5gxGQFrys6k1Xb9BmT3iB,바이블린,DIAMOND,IV
